PIN,HIN,T_1_1,GN_1_1,TT_1_1
712329217512409,855947918386094,VTs,KzHMmOlxCfVmo,wJnmcxjURmcGfAehwqyKHVHHUdlILucDTHoLazkTCpqx
988010116369697,171307822821698,Kwwx,xeaxnWRMGdGKSihGgFqSnHFLVjfhNqapaLFYsObkC,sRrOwdHwQuqVJwyiAhHylsFfzbIWzCSF
828228622854563,640575520474371,bD,gFztrQnOoRMQSTug,LdagHPjsPNefKrrDU
999393847241367,61526689912607,aeKh,zSAmtDHpBlE,iaubxkJCDaBuBpMZjbDLNNuYMDdXjDMZzJenEwPqsTxtVFKSY
947974756560326,775757757119702,th,kjkskpfjCvXwoIG,JadaGegefKtsALlLAxl
110627145226066,224643762319411,mSgQ,LIsFKrbEOAHbZQUIsytnRqY,koJNIcYozVjYf
613425206030210,397584404055248,oGxO,PrzoBnvgehD,AOMNMWgNjwVJtDzrXZf
546211830111747,259370593488359,lcb,dqZsSYwCydQqFssIhsAQQgoGieHPFtxJhXOVmUl,fOnMOLFGQDyp
326375073119008,722075961932836,mLh,CmAQxFqSppmBxstVoHQLTFwTdnIqskUDlQwrOU,qtAcBqlWlpuBXDERvPFn
569872005430399,364972927455414,AqX,dTwrVhYEnANUnnpxvRhHLdDWULG,eVJSpTuUlDCGLjjhlSiNLTnKBRmcyJoQu
